,Pokedex Number,Pokemon Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Male Ratio,Female Ratio,Base Happiness,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth Total,Egg Cycle Count
0,1,Bulbasaur,,,0.7,6.9,Grass,Poison,87.5,12.5,50,45,49,49,65,65,45,318,0,0,0,1,0,0,1,45,1059860,20
1,2,Ivysaur,,,1.0,13.0,Grass,Poison,87.5,12.5,50,60,62,63,80,80,60,405,0,0,0,1,1,0,2,45,1059860,20
2,3,Venusaur,,,2.0,100.0,Grass,Poison,87.5,12.5,50,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,1059860,20
3,3,"""Mega"" Venusaur",3.0,,2.4,155.5,Grass,Poison,87.5,12.5,70,80,100,123,122,120,80,625,0,0,0,2,1,0,3,45,1059860,20
4,3,"""Gigantamax"" Venusaur",3.0,,24.0,0.0,Grass,Poison,87.5,12.5,50,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,1059860,20
5,4,Charmander,,,0.6,8.5,Fire,Fire,87.5,12.5,50,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,1059860,20
6,5,Charmeleon,,,1.1,19.0,Fire,Fire,87.5,12.5,50,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,1059860,20
7,6,Charizard,,,1.7,90.5,Fire,Flying,87.5,12.5,50,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,1059860,20
8,6,"""Mega X"" Charizard",7.0,,1.7,110.5,Fire,Dragon,87.5,12.5,70,78,130,111,130,85,100,634,0,0,0,3,0,0,3,45,1059860,20
9,6,"""Mega Y"" Charizard",7.0,,1.7,100.5,Fire,Flying,87.5,12.5,70,78,104,78,159,115,100,634,0,0,0,3,0,0,3,45,1059860,20
10,6,"""Gigantamax"" Charizard",7.0,,28.0,0.0,Fire,Flying,87.5,12.5,50,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,1059860,20
11,7,Squirtle,,,0.5,9.0,Water,Water,87.5,12.5,50,44,48,65,50,64,43,314,0,0,1,0,0,0,1,45,1059860,20
12,8,Wartortle,,,1.0,22.5,Water,Water,87.5,12.5,50,59,63,80,65,80,58,405,0,0,1,0,1,0,2,45,1059860,20
13,9,Blastoise,,,1.6,85.5,Water,Water,87.5,12.5,50,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,1059860,20
14,9,"""Mega"" Blastoise",12.0,,1.6,101.1,Water,Water,87.5,12.5,70,79,103,120,135,115,78,630,0,0,0,0,3,0,3,45,1059860,20
15,9,"""Gigantamax"" Blastoise",12.0,,25.0,0.0,Water,Water,87.5,12.5,50,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,1059860,20
16,10,Caterpie,,,0.3,2.9,Bug,Bug,50.0,50.0,50,45,30,35,20,20,45,195,1,0,0,0,0,0,1,255,1000000,15
17,11,Metapod,,,0.7,9.9,Bug,Bug,50.0,50.0,50,50,20,55,25,25,30,205,0,0,2,0,0,0,2,120,1000000,15
18,12,Butterfree,,,1.1,32.0,Bug,Flying,50.0,50.0,50,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,1000000,15
19,12,"""Gigantamax"" Butterfree",24.0,,17.0,0.0,Bug,Flying,50.0,50.0,50,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,1000000,15
20,13,Weedle,,,0.3,3.2,Bug,Poison,50.0,50.0,50,40,35,30,20,20,50,195,0,0,0,0,0,1,1,255,1000000,15
21,14,Kakuna,,,0.6,10.0,Bug,Poison,50.0,50.0,50,45,25,50,25,25,35,205,0,0,2,0,0,0,2,120,1000000,15
22,15,Beedrill,,,1.0,29.5,Bug,Poison,50.0,50.0,50,65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,1000000,15
23,15,"""Mega"" Beedrill",27.0,,1.4,40.5,Bug,Poison,50.0,50.0,70,65,150,40,15,80,145,495,0,2,0,0,1,0,3,45,1000000,15
24,16,Pidgey,,,0.3,1.8,Normal,Flying,50.0,50.0,50,40,45,40,35,35,56,251,0,0,0,0,0,1,1,255,1059860,15
25,17,Pidgeotto,,,1.1,30.0,Normal,Flying,50.0,50.0,50,63,60,55,50,50,71,349,0,0,0,0,0,2,2,120,1059860,15
26,18,Pidgeot,,,1.5,39.5,Normal,Flying,50.0,50.0,50,83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,1059860,15
27,18,"""Mega"" Pidgeot",78.0,,2.2,50.5,Normal,Flying,50.0,50.0,70,83,80,80,135,80,121,579,0,0,0,0,0,3,3,45,1059860,15
28,19,Rattata,,,0.3,3.5,Normal,Normal,50.0,50.0,50,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,1000000,15
29,19,"""Alola"" Rattata",80.0,,0.3,3.8,Dark,Normal,50.0,50.0,70,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,1000000,15
30,20,Raticate,,,0.7,18.5,Normal,Normal,50.0,50.0,50,55,81,60,50,70,97,413,0,0,0,0,0,2,2,127,1000000,15
31,20,"""Alola"" Raticate",82.0,,0.7,25.5,Dark,Normal,50.0,50.0,70,75,71,70,40,80,77,413,0,0,0,0,0,2,2,127,1000000,15
32,21,Spearow,,,0.3,2.0,Normal,Flying,50.0,50.0,50,40,60,30,31,31,70,262,0,0,0,0,0,1,1,255,1000000,15
33,22,Fearow,,,1.2,38.0,Normal,Flying,50.0,50.0,50,65,90,65,61,61,100,442,0,0,0,0,0,2,2,90,1000000,15
34,23,Ekans,,,2.0,6.9,Poison,Poison,50.0,50.0,50,35,60,44,40,54,55,288,0,1,0,0,0,0,1,255,1000000,20
35,24,Arbok,,,3.5,65.0,Poison,Poison,50.0,50.0,50,60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,1000000,20
36,25,Pikachu,,,0.4,6.0,Electric,Electric,50.0,50.0,50,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,1000000,10
37,25,"""Gigantamax"" Pikachu",89.0,,21.0,0.0,Electric,Electric,50.0,50.0,50,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,1000000,10
38,25,"""Starter"" Pikachu",89.0,,0.4,6.0,Electric,Electric,50.0,50.0,70,45,80,50,75,60,120,430,0,0,0,0,0,2,2,190,1000000,10
39,26,Raichu,,,0.8,30.0,Electric,Electric,50.0,50.0,50,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,1000000,10
40,26,Raichu,,,0.8,30.0,Electric,Electric,50.0,50.0,50,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,1000000,10
41,26,Raichu,,,0.8,30.0,Electric,Electric,50.0,50.0,50,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,1000000,10
42,26,"""Alola"" Raichu",90.0,,0.7,21.0,Electric,Psychic,50.0,50.0,50,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,1000000,10
43,26,"""Alola"" Raichu",90.0,,0.7,21.0,Electric,Psychic,50.0,50.0,50,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,1000000,10
44,27,Sandshrew,,,0.6,12.0,Ground,Ground,50.0,50.0,50,50,75,85,20,30,40,300,0,0,1,0,0,0,1,255,1000000,20
45,27,"""Alola"" Sandshrew",92.0,,0.7,40.0,Ice,Steel,50.0,50.0,50,50,75,90,10,35,40,300,0,0,1,0,0,0,1,255,1000000,20
